iter	Logloss
0	0.6711391238
1	0.6522423533
2	0.6362527997
3	0.6228084218
4	0.6112863939
5	0.6018889513
6	0.5935734455
7	0.5863931222
8	0.5804434811
9	0.5753049786
10	0.5711398635
11	0.5673773693
12	0.5642312456
13	0.5615022928
14	0.5590799377
15	0.5569213326
16	0.5550089617
17	0.5533908715
18	0.5520028603
19	0.5506925192
20	0.5495689559
21	0.5485457425
22	0.5476139467
23	0.5468006796
24	0.5460159893
25	0.545360714
26	0.5447807012
27	0.5441883715
28	0.5437019395
29	0.543182011
30	0.5427927538
31	0.5423992746
32	0.5420368146
33	0.5417218777
34	0.5413792714
35	0.5410964353
36	0.5408128316
37	0.5404929401
38	0.5402419955
39	0.539991016
40	0.5397483408
41	0.5395430701
42	0.5393008834
43	0.5391163038
44	0.5389565673
45	0.5387469002
46	0.5386217768
47	0.538412982
48	0.5382588981
49	0.538066363
50	0.5378901574
51	0.5376835957
52	0.5375500633
53	0.5374390713
54	0.5372853363
55	0.537109061
56	0.536991579
57	0.5368859603
58	0.536777969
59	0.5366568582
60	0.5365014136
61	0.5364107288
62	0.5362883619
63	0.5361609705
64	0.5360296363
65	0.5359151202
66	0.5357907993
67	0.5356501838
68	0.5355301547
69	0.5354451224
70	0.5353340955
71	0.5352157063
72	0.5350766958
73	0.5349846153
74	0.5348859402
75	0.5348036645
76	0.5346994415
77	0.5345501029
78	0.5344433329
79	0.5343449718
80	0.5342451103
81	0.5341567284
82	0.5340591699
83	0.5339872222
84	0.5338859651
85	0.5337889997
86	0.5337089221
87	0.5335970578
88	0.5335297508
89	0.5334308663
90	0.5333242358
91	0.5332295384
92	0.5331336895
93	0.5330787692
94	0.5330043442
95	0.5329298843
96	0.5328502603
97	0.5327669378
98	0.5326934199
99	0.5326268457
100	0.5325708088
101	0.532488533
102	0.532434834
103	0.5323466963
104	0.5322827389
105	0.5322041966
106	0.5321456475
107	0.5320877614
108	0.5320055554
109	0.5319291764
110	0.5318726511
111	0.5317894332
112	0.5317091812
113	0.5316422231
114	0.5315699613
115	0.5314887323
116	0.5314274617
117	0.531351606
118	0.53129208
119	0.5312061056
120	0.5311321342
121	0.5310549876
122	0.5309847496
123	0.5309081961
124	0.5308292002
125	0.5307466802
126	0.5306985988
127	0.5306021219
128	0.5305367339
129	0.5304675776
130	0.5303901868
131	0.5303208909
132	0.5302527464
133	0.530179752
134	0.530111468
135	0.5300378804
136	0.5299673632
137	0.5299142224
138	0.5298663504
139	0.5297956937
140	0.5297123712
141	0.5296258734
142	0.5295487268
143	0.5294911547
144	0.5294415031
145	0.5293710558
146	0.5292988987
147	0.5292313475
148	0.5291697977
149	0.5290955471
150	0.529045721
151	0.5289734244
152	0.5289187135
153	0.5288511971
154	0.5288054186
155	0.5287362622
156	0.5286697577
157	0.5286118367
158	0.528497495
159	0.5284306416
160	0.5283295589
161	0.5282542267
162	0.5281817905
163	0.5281302548
164	0.5280468624
165	0.5280025494
166	0.5279652147
167	0.5279200642
168	0.5278532806
169	0.5277967204
170	0.5277406137
171	0.5276823787
172	0.5276121058
173	0.5275324818
174	0.527484191
175	0.5274152092
176	0.5273616497
177	0.5272956337
178	0.5272342583
179	0.5271646135
180	0.5270739636
181	0.5270310811
182	0.5269902224
183	0.5269276258
184	0.5268487695
185	0.5267677847
186	0.5266999194
187	0.526660561
188	0.5266130378
189	0.5265646075
190	0.526494544
191	0.5264259808
192	0.5263574875
193	0.5263220021
194	0.5262514152
195	0.5261916798
196	0.5261069616
197	0.5260340369
198	0.5259776511
199	0.5259166596
200	0.5258663451
201	0.5258037136
202	0.5257375929
203	0.5256863712
204	0.5256105853
205	0.5255375211
206	0.5254790418
207	0.5254413233
208	0.5253736325
209	0.5253080003
210	0.5252550689
211	0.5251993111
212	0.525139157
213	0.5250900986
214	0.5250232103
215	0.5249530421
216	0.5249179754
217	0.5248275349
218	0.5247817215
219	0.5247150425
220	0.5246554815
221	0.5245869184
222	0.5245471762
223	0.524488976
224	0.5244273564
225	0.5243992333
226	0.5243469648
227	0.5242909978
228	0.5242392178
229	0.5241897755
230	0.5241502776
231	0.5241107098
232	0.52404916
233	0.5239933674
234	0.5239374003
235	0.5238861088
236	0.5238372947
237	0.5237868755
238	0.5237279774
239	0.5236779072
240	0.5236252549
241	0.5235936774
242	0.5235404668
243	0.5234668094
244	0.5234163553
245	0.5233600045
246	0.5232917902
247	0.5232366257
248	0.5231819845
249	0.5231323329
250	0.5230856123
251	0.5230310758
252	0.5229771674
253	0.5229408795
254	0.522879225
255	0.5228270263
256	0.5227801312
257	0.5227325034
258	0.5226960062
259	0.5226406323
260	0.5225868634
261	0.5225412593
262	0.5224671134
263	0.522393456
264	0.5223618437
265	0.5223273004
266	0.5222766719
267	0.5222156454
268	0.522164982
269	0.5221037113
270	0.522033264
271	0.5219752383
272	0.5219224813
273	0.5218738067
274	0.5218205612
275	0.5217569876
276	0.5217063242
277	0.5216470424
278	0.521579526
279	0.5215177668
280	0.5214606483
281	0.5213985402
282	0.5213552739
283	0.5212961317
284	0.5212398157
285	0.5211727878
286	0.5211117265
287	0.5210639591
288	0.5209861495
289	0.5209336018
290	0.5208837758
291	0.5208288904
292	0.5207759241
293	0.5207368099
294	0.5206815756
295	0.5206372276
296	0.5205782947
297	0.520519955
298	0.5204729901
299	0.520421873
