Dataset,Risk_Group,Count,Percentage,Disease_Count,Disease_Rate,Avg_Probability
Train,Low,12815,26.16427448498336,2072,16.168552477565353,0.1861864638285529
Train,Medium,19934,40.69907511382429,8812,44.20587940202669,0.4452766410335921
Train,High,16230,33.13665040119235,13595,83.76463339494762,0.8099267564801177
Test,Low,5473,26.071836890243905,990,18.088799561483647,0.18512719851780174
Test,Medium,8552,40.739329268292686,3781,44.211880261927035,0.4468977619049647
Test,High,6967,33.18883384146341,5720,82.10133486436055,0.8122890609844148
